Channel,Platform,Location,Spend,Reach,Impressions,CTR,Latitude,Longitude
Digital,Meta Ads,Mumbai,500000,2000000,8000000,1.2,19.076,72.8777
Digital,Google Ads,Delhi,450000,1800000,7200000,1.5,28.6139,77.209
Digital,YouTube,Bangalore,300000,1500000,6000000,0.8,12.9716,77.5946
OOH,Billboard,Mumbai - BKC,200000,500000,2000000,,19.0596,72.8656
OOH,Billboard,Delhi - CP,180000,480000,1900000,,28.6315,77.2167
OOH,Billboard,Bangalore - MG Road,150000,420000,1700000,,12.9758,77.6045
BTL,Activation,Hyderabad,120000,80000,200000,,17.385,78.4867
BTL,Activation,Chennai,100000,60000,150000,,13.0827,80.2707
Digital,Programmatic,Pune,250000,1200000,5000000,1.1,18.5204,73.8567
Digital,Instagram,Kolkata,200000,900000,3600000,1.3,22.5726,88.3639
Radio,Radio Spots,Mumbai,180000,600000,2400000,,19.076,72.8777
Print,Newspaper,Delhi,220000,800000,800000,,28.6139,77.209
